price_open,price_close,ret_adjusted,ref_date,date,hits,keyword,geo,time,gprop,category,lag_trends,double_lag_trends
125075,122807,,2021-01-11,2021-01-11T00:00:00Z,63,Ibovespa,world,today 3-m,web,0,,
123255,123998,0.00969814424259208,2021-01-12,2021-01-12T00:00:00Z,56,Ibovespa,world,today 3-m,web,0,63,
123996,122040,-0.0157905772673753,2021-01-13,2021-01-13T00:00:00Z,63,Ibovespa,world,today 3-m,web,0,56,63
121947,123481,0.0118076040642412,2021-01-14,2021-01-14T00:00:00Z,74,Ibovespa,world,today 3-m,web,0,63,56
123472,120502,-0.0241251690543485,2021-01-15,2021-01-15T00:00:00Z,59,Ibovespa,world,today 3-m,web,0,74,63
120351,121242,0.00614097691324633,2021-01-18,2021-01-18T00:00:00Z,62,Ibovespa,world,today 3-m,web,0,59,74
121250,120673,-0.00469309315253785,2021-01-19,2021-01-19T00:00:00Z,59,Ibovespa,world,today 3-m,web,0,62,59
120645,119708,-0.00799681784657713,2021-01-20,2021-01-20T00:00:00Z,62,Ibovespa,world,today 3-m,web,0,59,62
119628,118443,-0.0105673806261904,2021-01-21,2021-01-21T00:00:00Z,60,Ibovespa,world,today 3-m,web,0,62,59
118318,117172,-0.0107309000954046,2021-01-22,2021-01-22T00:00:00Z,63,Ibovespa,world,today 3-m,web,0,60,62
117381,116464,-0.00604239920800187,2021-01-26,2021-01-26T00:00:00Z,67,Ibovespa,world,today 3-m,web,0,63,60
116463,115882,-0.00499725236983106,2021-01-27,2021-01-27T00:00:00Z,61,Ibovespa,world,today 3-m,web,0,67,63
115882,119314,0.0296163338568545,2021-01-28,2021-01-28T00:00:00Z,69,Ibovespa,world,today 3-m,web,0,61,67
118880,116007,-0.0277167809309888,2021-01-29,2021-01-29T00:00:00Z,61,Ibovespa,world,today 3-m,web,0,69,61
115093,117365,0.0117061901436981,2021-02-01,2021-02-01T00:00:00Z,59,Ibovespa,world,today 3-m,web,0,61,69
117520,118234,0.00740425169343495,2021-02-02,2021-02-02T00:00:00Z,59,Ibovespa,world,today 3-m,web,0,59,61
118235,119725,0.0126105857875061,2021-02-03,2021-02-03T00:00:00Z,57,Ibovespa,world,today 3-m,web,0,59,59
119728,119261,-0.00387554813113389,2021-02-04,2021-02-04T00:00:00Z,63,Ibovespa,world,today 3-m,web,0,57,59
119261,119925,0.00556762059684224,2021-02-05,2021-02-05T00:00:00Z,55,Ibovespa,world,today 3-m,web,0,63,57
120239,119516,-0.00341046487387953,2021-02-08,2021-02-08T00:00:00Z,60,Ibovespa,world,today 3-m,web,0,55,63
119696,119429,-0.000727936008567909,2021-02-09,2021-02-09T00:00:00Z,58,Ibovespa,world,today 3-m,web,0,60,55
119472,118430,-0.00836480251865124,2021-02-10,2021-02-10T00:00:00Z,50,Ibovespa,world,today 3-m,web,0,58,60
118440,119235,0.00679726420670446,2021-02-11,2021-02-11T00:00:00Z,52,Ibovespa,world,today 3-m,web,0,50,58
119300,119116,-0.000998029102193154,2021-02-12,2021-02-12T00:00:00Z,54,Ibovespa,world,today 3-m,web,0,52,50
120361,119140,0.000201484267436713,2021-02-18,2021-02-18T00:00:00Z,49,Ibovespa,world,today 3-m,web,0,54,52
119199,118748,-0.00329024676850764,2021-02-19,2021-02-19T00:00:00Z,52,Ibovespa,world,today 3-m,web,0,49,54
118388,112668,-0.051200862330313,2021-02-22,2021-02-22T00:00:00Z,97,Ibovespa,world,today 3-m,web,0,52,49
112676,115227,0.0227127489615508,2021-02-23,2021-02-23T00:00:00Z,74,Ibovespa,world,today 3-m,web,0,97,52
115229,115668,0.00382722799343904,2021-02-24,2021-02-24T00:00:00Z,63,Ibovespa,world,today 3-m,web,0,74,97
115668,112256,-0.0294982190407027,2021-02-25,2021-02-25T00:00:00Z,57,Ibovespa,world,today 3-m,web,0,63,74
112260,110035,-0.0197851339794755,2021-02-26,2021-02-26T00:00:00Z,70,Ibovespa,world,today 3-m,web,0,57,63
110036,110335,0.00272640523469803,2021-03-01,2021-03-01T00:00:00Z,65,Ibovespa,world,today 3-m,web,0,70,57
110328,111540,0.0109212851769611,2021-03-02,2021-03-02T00:00:00Z,72,Ibovespa,world,today 3-m,web,0,65,70
111529,111184,-0.00319168011475701,2021-03-03,2021-03-03T00:00:00Z,70,Ibovespa,world,today 3-m,web,0,72,65
111191,112690,0.0135451144049503,2021-03-04,2021-03-04T00:00:00Z,70,Ibovespa,world,today 3-m,web,0,70,72
112690,115202,0.0222912414588694,2021-03-05,2021-03-05T00:00:00Z,67,Ibovespa,world,today 3-m,web,0,70,70
115202,110612,-0.0398430582802382,2021-03-08,2021-03-08T00:00:00Z,99,Ibovespa,world,today 3-m,web,0,67,70
110611,111331,0.00650019889342923,2021-03-09,2021-03-09T00:00:00Z,100,Ibovespa,world,today 3-m,web,0,99,67
111331,112776,0.0129793139377172,2021-03-10,2021-03-10T00:00:00Z,66,Ibovespa,world,today 3-m,web,0,100,99
112782,114984,0.0195786337518622,2021-03-11,2021-03-11T00:00:00Z,75,Ibovespa,world,today 3-m,web,0,66,100
114984,114160,-0.00716621442983367,2021-03-12,2021-03-12T00:00:00Z,58,Ibovespa,world,today 3-m,web,0,75,66
114093,114851,0.00605290819901883,2021-03-15,2021-03-15T00:00:00Z,59,Ibovespa,world,today 3-m,web,0,58,75
114845,114019,-0.00724416853140153,2021-03-16,2021-03-16T00:00:00Z,62,Ibovespa,world,today 3-m,web,0,59,58
114018,116549,0.0221892842421001,2021-03-17,2021-03-17T00:00:00Z,57,Ibovespa,world,today 3-m,web,0,62,59
116549,114835,-0.0147062608859793,2021-03-18,2021-03-18T00:00:00Z,64,Ibovespa,world,today 3-m,web,0,57,62
